the	the	the
question	question	question
now."	now."	now."
"You	"You	"You
have	have	have
acted	acted	acted
as	as	as
if	if	if
you	you	you
do;	do;	do;
but	but	but
I	I	I
don't	don't	don't
think	think	think
you	you	you
do."	do."	do."
"_I_	"_I_	"_I_
don't	don't	don't
think	think	think
I	I	I
do,"	do,"	do,"
said	said	said
Carton.	Carton.	Carton.
"I	"I	"I
begin	begin	begin
to	to	to
have	have	have
a	the	the
very	very	very
good	good	good
opinion	opinion	opinion
of	of	of
your	your	your
understanding."	understanding."	understanding."
"Nevertheless,"	"Nevertheless,"	"Nevertheless,"
pursued	pursued	pursued
Darnay,	Darnay,	Darnay,
rising	rising	rising
to	to	to
ring	ring	ring
the	a	the
bell,	bell,	bell,
"there	"there	"there
is	is	is
nothing	nothing	nothing
in	in	in
that,	that,	that,
I	I	I
hope,	hope,	hope,
to	to	to
prevent	prevent	prevent
my	my	my
calling	calling	calling
the	the	the
reckoning,	reckoning,	reckoning,
and	and	and
our	our	our
parting	parting	parting
without	without	without
ill-blood	ill-blood	ill-blood
on	on	on
either	either	either
side."	side."	side."
Carton	Carton	Carton
rejoining,	rejoining,	rejoining,
"Nothing	"Nothing	"Nothing
in	in	in
life!"	life!"	life!"
Darnay	Darnay	Darnay
rang.	rang.	rang.
"Do	"Do	"Do
you	you	you
call	call	call
the	the	the
whole	whole	whole
reckoning?"	reckoning?"	reckoning?"
said	said	said
Carton.	Carton.	Carton.
On	On	On
his	his	his
answering	answering	answering
in	in	in
the	a	the
affirmative,	affirmative,	affirmative,
"Then	"Then	"Then
bring	bring	bring
me	me	me
another	another	another
pint	pint	pint
of	of	of
this	this	this
same	same	same
wine,	wine,	wine,
drawer,	drawer,	drawer,
and	and	and
come	come	come
and	and	and
wake	wake	wake
me	me	me
at	at	at
ten."	ten."	ten."
the	The	the
bill	bill	bill
being	being	being
paid,	paid,	paid,
Charles	Charles	Charles
Darnay	Darnay	Darnay
rose	rose	rose
and	and	and
wished	wished	wished
him	him	him
good	good	good
night.	night.	night.
Without	Without	Without
returning	returning	returning
the	a	the
wish,	wish,	wish,
Carton	Carton	Carton
rose	rose	rose
too,	too,	too,
with	with	with
something	something	something
of	of	of
a	a	the
threat	threat	threat
of	of	of
defiance	defiance	defiance
in	in	in
his	his	his
manner,	manner,	manner,
and	and	and
said,	said,	said,
"The	"The	"The
last	last	last
word,	word,	word,
Mr.	Mr.	Mr.
Darnay:	Darnay:	Darnay:
you	you	you
think	think	think
I	I	I
am	am	am
drunk?"	drunk?"	drunk?"
"I	"I	"I
think	think	think
you	you	you
have	have	have
been	been	been
drinking,	drinking,	drinking,
Mr.	Mr.	Mr.
Carton."	Carton."	Carton."
"Think?	"Think?	"Think?
You	You	You
know	know	know
I	I	I
have	have	have
been	been	been
drinking."	drinking."	drinking."
"Since	"Since	"Since
I	I	I
must	must	must
say	say	say
so,	so,	so,
I	I	I
know	know	know
it."	it."	it."
"Then	"Then	"Then
you	you	you
shall	shall	shall
likewise	likewise	likewise
know	know	know
why.	why.	why.
I	I	I
am	am	am
a	a	the
disappointed	disappointed	disappointed
drudge,	drudge,	drudge,
sir.	sir.	sir.
I	I	I
care	care	care
for	for	for
no	no	no
man	man	man
on	on	on
earth,	earth,	earth,
and	and	and
no	no	no
man	man	man
on	on	on
earth	earth	earth
cares	cares	cares
for	for	for
me."	me."	me."
"Much	"Much	"Much
to	to	to
be	be	be
regretted.	regretted.	regretted.
You	You	You
might	might	might
have	have	have
used	used	used
your	your	your
talents	talents	talents
better."	better."	better."
"May	"May	"May
be	be	be
so,	so,	so,
Mr.	Mr.	Mr.
Darnay;	Darnay;	Darnay;
may	may	may
be	be	be
not.	not.	not.
Don't	Don't	Don't
let	let	let
your	your	your
sober	sober	sober
face	face	face
elate	elate	elate
you,	you,	you,
however;	however;	however;
you	you	you
don't	don't	don't
know	know	know
what	what	what
it	it	it
may	may	may
come	come	come
to.	to.	to.
Good	Good	Good
night!"	night!"	night!"
When	When	When
he	he	he
was	was	was
left	left	left
alone,	alone,	alone,
this	this	this
strange	strange	strange
being	being	being
took	took	took
up	up	up
a	a	the
candle,	candle,	candle,
went	went	went
to	to	to
a	the	the
glass	glass	glass
that	that	that
hung	hung	hung
against	against	against
the	the	the
wall,	wall,	wall,
and	and	and
surveyed	surveyed	surveyed
himself	himself	himself
minutely	minutely	minutely
in	in	in
it.	it.	it.
"Do	"Do	"Do
you	you	you
particularly	particularly	particularly
like	like	like
the	the	the
man?"	man?"	man?"
he	he	he
muttered,	muttered,	muttered,
at	at	at
his	his	his
own	own	own
image;	image;	image;
"why	"why	"why
should	should	should
you	you	you
particularly	particularly	particularly
like	like	like
a	a	the
man	man	man
who	who	who
resembles	resembles	resembles
you?	you?	you?
There	There	There
is	is	is
nothing	nothing	nothing
in	in	in
you	you	you
to	to	to
like;	like;	like;
you	you	you
know	know	know
that.	that.	that.
Ah,	Ah,	Ah,
confound	confound	confound
you!	you!	you!
What	What	What
a	the	the
change	change	change
you	you	you
have	have	have
made	made	made
in	in	in
yourself!	yourself!	yourself!
a	A	the
good	good	good
reason	reason	reason
for	for	for
taking	taking	taking
to	to	to
a	the	the
man,	man,	man,
that	that	that
he	he	he
shows	shows	shows
you	you	you
what	what	what
you	you	you
have	have	have
fallen	fallen	fallen
away	away	away
from,	from,	from,
and	and	and
what	what	what
you	you	you
might	might	might
have	have	have
been!	been!	been!
Change	Change	Change
places	places	places
with	with	with
him,	him,	him,
and	and	and
would	would	would
you	you	you
have	have	have
been	been	been
looked	looked	looked
at	at	at
by	by	by
those	those	those
blue	blue	blue
eyes	eyes	eyes
as	as	as
he	he	he
was,	was,	was,
and	and	and
commiserated	commiserated	commiserated
by	by	by
that	that	that
agitated	agitated	agitated
face	face	face
as	as	as
he	he	he
was?	was?	was?
Come	Come	Come
on,	on,	on,
and	and	and
have	have	have
it	it	it
out	out	out
in	in	in
plain	plain	plain
words!	words!	words!
You	You	You
hate	hate	hate
the	the	the
fellow."	fellow."	fellow."
He	He	He
resorted	resorted	resorted
to	to	to
his	his	his
pint	pint	pint
of	of	of
wine	wine	wine
for	for	for
consolation,	consolation,	consolation,
drank	drank	drank
it	it	it
all	all	all
in	in	in
a	a	the
few	few	few
minutes,	minutes,	minutes,
and	and	and
fell	fell	fell
asleep	asleep	asleep
on	on	on
his	his	his
arms,	arms,	arms,
with	with	with
his	his	his
hair	hair	hair
straggling	straggling	straggling
over	over	over
the	the	the
table,	table,	table,
and	and	and
a	the	the
long	long	long
winding-sheet	winding-sheet	winding-sheet
in	in	in
the	the	the
candle	candle	candle
dripping	dripping	dripping
down	down	down
upon	upon	upon
him.	him.	him.
V.	V.	V.
the	A	the
Jackal	Jackal	Jackal
Those	Those	Those
were	were	were
drinking	drinking	drinking
days,	days,	days,
and	and	and
most	most	most
men	men	men
drank	drank	drank
hard.	hard.	hard.
So	So	So
very	very	very
great	great	great
is	is	is
the	the	the
improvement	improvement	improvement
Time	Time	Time
has	has	has
brought	brought	brought
about	about	about
in	in	in
such	such	such
habits,	habits,	habits,
that	that	that
a	a	the
moderate	moderate	moderate
statement	statement	statement
of	of	of
the	a	the
quantity	quantity	quantity
of	of	of
wine	wine	wine
and	and	and
punch	punch	punch
which	which	which
one	one	one
man	man	man
would	would	would
swallow	swallow	swallow
in	in	in
the	the	the
course	course	course
of	of	of
a	a	the
night,	night,	night,
without	without	without
any	any	any
detriment	detriment	detriment
to	to	to
his	his	his
reputation	reputation	reputation
as	as	as
a	a	the
perfect	perfect	perfect
gentleman,	gentleman,	gentleman,
would	would	would
seem,	seem,	seem,
in	in	in
these	these	these
days,	days,	days,
a	the	the
ridiculous	ridiculous	ridiculous
exaggeration.	exaggeration.	exaggeration.
the	A	the
learned	learned	learned
profession	profession	profession
of	of	of
the	a	the
law	law	law
was	was	was
certainly	certainly	certainly
not	not	not
behind	behind	behind
any	any	any
other	other	other
learned	learned	learned
profession	profession	profession
in	in	in
its	its	its
Bacchanalian	Bacchanalian	Bacchanalian
propensities;	propensities;	propensities;
neither	neither	neither
was	was	was
Mr.	Mr.	Mr.
Stryver,	Stryver,	Stryver,
already	already	already
fast	fast	fast
shouldering	shouldering	shouldering
his	his	his
way	way	way
to	to	to
a	the	the
large	large	large
and	and	and
lucrative	lucrative	lucrative
practice,	practice,	practice,
behind	behind	behind
his	his	his
compeers	compeers	compeers
in	in	in
this	this	this
particular,	particular,	particular,
any	any	any
more	more	more
than	than	than
in	in	in
the	the	the
drier	drier	drier
parts	parts	parts
of	of	of
the	the	the
legal	legal	legal
race.	race.	race.
a	A	the
favourite	favourite	favourite
at	at	at
the	the	the
Old	Old	Old
Bailey,	Bailey,	Bailey,
and	and	and
eke	eke	eke
at	at	at
the	the	the
Sessions,	Sessions,	Sessions,
Mr.	Mr.	Mr.
Stryver	Stryver	Stryver
had	had	had
begun	begun	begun
cautiously	cautiously	cautiously
to	to	to
hew	hew	hew
away	away	away
the	the	the
lower	lower	lower
staves	staves	staves
of	of	of
the	the	the
ladder	ladder	ladder
on	on	on
which	which	which
he	he	he
mounted.	mounted.	mounted.
Sessions	Sessions	Sessions
and	and	and
Old	Old	Old
Bailey	Bailey	Bailey
had	had	had
now	now	now
to	to	to
summon	summon	summon
their	their	their
favourite,	favourite,	favourite,
specially,	specially,	specially,
to	to	to
their	their	their
longing	longing	longing
arms;	arms;	arms;
and	and	and
shouldering	shouldering	shouldering
itself	itself	itself
towards	towards	towards
the	the	the
visage	visage	visage
of	of	of
the	the	the
Lord	Lord	Lord
Chief	Chief	Chief
Justice	Justice	Justice
in	in	in
the	the	the
Court	Court	Court
of	of	of
King's	King's	King's
Bench,	Bench,	Bench,
the	the	the
florid	florid	florid
countenance	countenance	countenance
of	of	of
Mr.	Mr.	Mr.
Stryver	Stryver	Stryver
might	might	might
be	be	be
daily	daily	daily
seen,	seen,	seen,
bursting	bursting	bursting
out	out	out
of	of	of
the	the	the
bed	bed	bed
of	of	of
wigs,	wigs,	wigs,
like	like	like
a	a	the
great	great	great
sunflower	sunflower	sunflower
pushing	pushing	pushing
its	its	its
way	way	way
at	at	at
the	the	the
sun	sun	sun
from	from	from
among	among	among
a	the	the
rank	rank	rank
garden-full	garden-full	garden-full
of	of	of
flaring	flaring	flaring
companions.	companions.	companions.
It	It	It
had	had	had
once	once	once
been	been	been
noted	noted	noted
at	at	at
the	the	the
Bar,	Bar,	Bar,
that	that	that
while	while	while
Mr.	Mr.	Mr.
Stryver	Stryver	Stryver
was	was	was
a	the	the
glib	glib	glib
man,	man,	man,
and	and	and
an	an	an
unscrupulous,	unscrupulous,	unscrupulous,
and	and	and
a	the	the
ready,	ready,	ready,
and	and	and
a	a	the
bold,	bold,	bold,
he	he	he
had	had	had
not	not	not
that	that	that
faculty	faculty	faculty
of	of	of
extracting	extracting	extracting
the	the	the
essence	essence	essence
from	from	from
a	a	the
heap	heap	heap
of	of	of
statements,	statements,	statements,
which	which	which
is	is	is
among	among	among
the	a	the
most	most	most
striking	striking	striking
and	and	and
necessary	necessary	necessary
of	of	of
the	the	the
advocate's	advocate's	advocate's
accomplishments.	accomplishments.	accomplishments.
But,	But,	But,
a	a	the
remarkable	remarkable	remarkable
improvement	improvement	improvement
came	came	came
upon	upon	upon
him	him	him
as	as	as
to	to	to
this.	this.	this.
the	The	the
more	more	more
business	business	business
he	he	he
got,	got,	got,
the	a	the
greater	greater	greater
his	his	his
power	power	power
seemed	seemed	seemed
to	to	to
grow	grow	grow
of	of	of
getting	getting	getting
at	at	at
its	its	its
pith	pith	pith
and	and	and
marrow;	marrow;	marrow;
and	and	and
however	however	however
late	late	late
at	at	at
night	night	night
he	he	he
sat	sat	sat
carousing	carousing	carousing
with	with	with
Sydney	Sydney	Sydney
Carton,	Carton,	Carton,
he	he	he
always	always	always
had	had	had
his	his	his
points	points	points
at	at	at
his	his	his
fingers'	fingers'	fingers'
ends	ends	ends
in	in	in
the	the	the
morning.	morning.	morning.
Sydney	Sydney	Sydney
Carton,	Carton,	Carton,
idlest	idlest	idlest
and	and	and
most	most	most
unpromising	unpromising	unpromising
of	of	of
men,	men,	men,
was	was	was
Stryver's	Stryver's	Stryver's
great	great	great
ally.	ally.	ally.
What	What	What
the	the	the
two	two	two
drank	drank	drank
together,	together,	together,
between	between	between
Hilary	Hilary	Hilary
Term	Term	Term
and	and	and
Michaelmas,	Michaelmas,	Michaelmas,
might	might	might
have	have	have
floated	floated	floated
a	a	the
king's	king's	king's
ship.	ship.	ship.
Stryver	Stryver	Stryver
never	never	never
had	had	had
a	a	the
case	case	case
in	in	in
hand,	hand,	hand,
anywhere,	anywhere,	anywhere,
but	but	but
Carton	Carton	Carton
was	was	was
there,	there,	there,
with	with	with
his	his	his
hands	hands	hands
in	in	in
his	his	his
pockets,	pockets,	pockets,
staring	staring	staring
at	at	at
the	the	the
ceiling	ceiling	ceiling
of	of	of
the	the	the
court;	court;	court;
they	they	they
went	went	went
the	the	the
same	same	same
Circuit,	Circuit,	Circuit,
and	and	and
even	even	even
there	there	there
they	they	they
prolonged	prolonged	prolonged
their	their	their
usual	usual	usual
orgies	orgies	orgies
late	late	late
into	into	into
the	the	the
night,	night,	night,
and	and	and
Carton	Carton	Carton
was	was	was
rumoured	rumoured	rumoured
to	to	to
be	be	be
seen	seen	seen
at	at	at
broad	broad	broad
day,	day,	day,
going	going	going
home	home	home
stealthily	stealthily	stealthily
and	and	and
unsteadily	unsteadily	unsteadily
to	to	to
his	his	his
lodgings,	lodgings,	lodgings,
like	like	like
a	a	the
dissipated	dissipated	dissipated
cat.	cat.	cat.
At	At	At
last,	last,	last,
it	it	it
began	began	began
to	to	to
get	get	get
about,	about,	about,
among	among	among
such	such	such
as	as	as
were	were	were
interested	interested	interested
in	in	in
the	a	the
matter,	matter,	matter,
that	that	that
although	although	although
Sydney	Sydney	Sydney
Carton	Carton	Carton
would	would	would
never	never	never
be	be	be
a	a	the
lion,	lion,	lion,
he	he	he
was	was	was
an	an	an
amazingly	amazingly	amazingly
good	good	good
jackal,	jackal,	jackal,
and	and	and
that	that	that
he	he	he
rendered	rendered	rendered
suit	suit	suit
and	and	and
service	service	service
to	to	to
Stryver	Stryver	Stryver
in	in	in
that	that	that
humble	humble	humble
capacity.	capacity.	capacity.
"Ten	"Ten	"Ten
o'clock,	o'clock,	o'clock,
sir,"	sir,"	sir,"
said	said	said
the	the	the
man	man	man
at	at	at
the	the	the
tavern,	tavern,	tavern,
whom	whom	whom
he	he	he
had	had	had
charged	charged	charged
to	to	to
wake	wake	wake
him--"ten	him--"ten	him--"ten
o'clock,	o'clock,	o'clock,
sir."	sir."	sir."
"_What's_	"_What's_	"_What's_
the	a	the
matter?"	matter?"	matter?"
"Ten	"Ten	"Ten
o'clock,	o'clock,	o'clock,
sir."	sir."	sir."
"What	"What	"What
do	do	do
you	you	you
mean?	mean?	mean?
Ten	Ten	Ten
o'clock	o'clock	o'clock
at	at	at
night?"	night?"	night?"
"Yes,	"Yes,	"Yes,
sir.	sir.	sir.
Your	Your	Your
honour	honour	honour
told	told	told
me	me	me
to	to	to
call	call	call
you."	you."	you."
"Oh!	"Oh!	"Oh!
I	I	I
remember.	remember.	remember.
Very	Very	Very
well,	well,	well,
very	very	very
well."	well."	well."
After	After	After
a	a	the
few	few	few
dull	dull	dull
efforts	efforts	efforts
to	to	to
get	get	get
to	to	to
sleep	sleep	sleep
again,	again,	again,
which	which	which
the	the	the
man	man	man
dexterously	dexterously	dexterously
combated	combated	combated
by	by	by
stirring	stirring	stirring
the	the	the
fire	fire	fire
continuously	continuously	continuously
for	for	for
five	five	five
minutes,	minutes,	minutes,
he	he	he
got	got	got
up,	up,	up,
tossed	tossed	tossed
his	his	his
hat	hat	hat
on,	on,	on,
and	and	and
walked	walked	walked
out.	out.	out.
He	He	He
turned	turned	turned
into	into	into
the	the	the
Temple,	Temple,	Temple,
and,	and,	and,
having	having	having
revived	revived	revived
himself	himself	himself
by	by	by
twice	twice	twice
pacing	pacing	pacing
the	a	the
pavements	pavements	pavements
of	of	of
King's	King's	King's
Bench-walk	Bench-walk	Bench-walk
and	and	and
Paper-buildings,	Paper-buildings,	Paper-buildings,
turned	turned	turned
into	into	into
the	a	the
Stryver	Stryver	Stryver
chambers.	chambers.	chambers.
the	The	the
Stryver	Stryver	Stryver
clerk,	clerk,	clerk,
who	who	who
never	never	never
assisted	assisted	assisted
at	at	at
these	these	these
conferences,	conferences,	conferences,
had	had	had
gone	gone	gone
home,	home,	home,
and	and	and
the	the	the
Stryver	Stryver	Stryver
principal	principal	principal
opened	opened	opened
the	the	the
door.	door.	door.
He	He	He
had	had	had
his	his	his
slippers	slippers	slippers
on,	on,	on,
and	and	and
a	a	the
loose	loose	loose
bed-gown,	bed-gown,	bed-gown,
and	and	and
his	his	his
throat	throat	throat
was	was	was
bare	bare	bare
for	for	for
his	his	his
greater	greater	greater
ease.	ease.	ease.
He	He	He
had	had	had
that	that	that
rather	rather	rather
wild,	wild,	wild,
strained,	strained,	strained,
seared	seared	seared
marking	marking	marking
about	about	about
the	the	the
eyes,	eyes,	eyes,
which	which	which
may	may	may
be	be	be
observed	observed	observed
in	in	in
all	all	all
free	free	free
livers	livers	livers
of	of	of
his	his	his
class,	class,	class,
from	from	from
the	the	the
portrait	portrait	portrait
of	of	of
Jeffries	Jeffries	Jeffries
downward,	downward,	downward,
and	and	and
which	which	which
can	can	can
be	be	be
traced,	traced,	traced,
under	under	under
various	various	various
disguises	disguises	disguises
of	of	of
Art,	Art,	Art,
through	through	through
the	a	the
portraits	portraits	portraits
of	of	of
every	every	every
Drinking	Drinking	Drinking
Age.	Age.	Age.
"You	"You	"You
are	are	are
a	a	the
little	little	little
late,	late,	late,
Memory,"	Memory,"	Memory,"
said	said	said
Stryver.	Stryver.	Stryver.
"About	"About	"About
the	the	the
usual	usual	usual
time;	time;	time;
it	it	it
may	may	may
be	be	be
a	the	the
quarter	quarter	quarter
of	of	of
an	an	an
hour	hour	hour
later."	later."	later."
They	They	They
went	went	went
into	into	into
a	a	the
dingy	dingy	dingy
room	room	room
lined	lined	lined
with	with	with
books	books	books
and	and	and
littered	littered	littered
with	with	with
papers,	papers,	papers,
where	where	where
there	there	there
was	was	was
a	a	the
blazing	blazing	blazing
fire.	fire.	fire.
a	A	the
kettle	kettle	kettle
steamed	steamed	steamed
upon	upon	upon
the	a	the
hob,	hob,	hob,
and	and	and
in	in	in
the	a	the
midst	midst	midst
of	of	of
the	the	the
wreck	wreck	wreck
of	of	of
papers	papers	papers
a	the	the
table	table	table
shone,	shone,	shone,
with	with	with
plenty	plenty	plenty
of	of	of
wine	wine	wine
upon	upon	upon
it,	it,	it,
and	and	and
brandy,	brandy,	brandy,
and	and	and
rum,	rum,	rum,
and	and	and
sugar,	sugar,	sugar,
and	and	and
lemons.	lemons.	lemons.
"You	"You	"You
have	have	have
had	had	had
your	your	your
bottle,	bottle,	bottle,
I	I	I
perceive,	perceive,	perceive,
Sydney."	Sydney."	Sydney."
"Two	"Two	"Two
to-night,	to-night,	to-night,
I	I	I
think.	think.	think.
I	I	I
have	have	have
been	been	been
dining	dining	dining
with	with	with
the	the	the
day's	day's	day's
client;	client;	client;
or	or	or
seeing	seeing	seeing
him	him	him
dine--it's	dine--it's	dine--it's
all	all	all
one!"	one!"	one!"
"That	"That	"That
was	was	was
a	a	the
rare	rare	rare
point,	point,	point,
Sydney,	Sydney,	Sydney,
that	that	that
you	you	you
brought	brought	brought
to	to	to
bear	bear	bear
upon	upon	upon
the	the	the
identification.	identification.	identification.
How	How	How
did	did	did
you	you	you
come	come	come
by	by	by
it?	it?	it?
When	When	When
did	did	did
it	it	it
strike	strike	strike
you?"	you?"	you?"
"I	"I	"I
thought	thought	thought
he	he	he
was	was	was
rather	rather	rather
a	a	the
handsome	handsome	handsome
fellow,	fellow,	fellow,
and	and	and
I	I	I
thought	thought	thought
I	I	I
should	should	should
have	have	have
been	been	been
much	much	much
the	the	the
same	same	same
sort	sort	sort
of	of	of
fellow,	fellow,	fellow,
if	if	if
I	I	I
had	had	had
had	had	had
any	any	any
luck."	luck."	luck."
Mr.	Mr.	Mr.
Stryver	Stryver	Stryver
laughed	laughed	laughed
till	till	till
he	he	he
shook	shook	shook
his	his	his
precocious	precocious	precocious
paunch.	paunch.	paunch.
"You	"You	"You
and	and	and
your	your	your
luck,	luck,	luck,
Sydney!	Sydney!	Sydney!
Get	Get	Get
to	to	to
work,	work,	work,
get	get	get
to	to	to
work."	work."	work."
Sullenly	Sullenly	Sullenly
enough,	enough,	enough,
the	the	the
jackal	jackal	jackal
loosened	loosened	loosened
his	his	his
dress,	dress,	dress,
went	went	went
into	into	into
an	an	an
adjoining	adjoining	adjoining
room,	room,	room,
and	and	and
came	came	came
back	back	back
with	with	with
a	the	the
large	large	large
jug	jug	jug
of	of	of
cold	cold	cold
water,	water,	water,
a	a	the
basin,	basin,	basin,
and	and	and
a	the	the
towel	towel	towel
or	or	or
two.	two.	two.
Steeping	Steeping	Steeping
the	the	the
towels	towels	towels
in	in	in
the	the	the
water,	water,	water,
and	and	and
partially	partially	partially
wringing	wringing	wringing
them	them	them
out,	out,	out,
he	he	he
folded	folded	folded
them	them	them
on	on	on
his	his	his
head	head	head
in	in	in
a	the	the
manner	manner	manner
hideous	hideous	hideous
to	to	to
behold,	behold,	behold,
sat	sat	sat
down	down	down
at	at	at
the	the	the
table,	table,	table,
and	and	and
said,	said,	said,
"Now	"Now	"Now
I	I	I
am	am	am
ready!"	ready!"	ready!"
"Not	"Not	"Not
much	much	much
boiling	boiling	boiling
down	down	down
to	to	to
be	be	be
done	done	done
to-night,	to-night,	to-night,
Memory,"	Memory,"	Memory,"
said	said	said
Mr.	Mr.	Mr.
Stryver,	Stryver,	Stryver,
gaily,	gaily,	gaily,
as	as	as
he	he	he
looked	looked	looked
among	among	among
his	his	his
papers.	papers.	papers.
"How	"How	"How
much?"	much?"	much?"
"Only	"Only	"Only
two	two	two
sets	sets	sets
of	of	of
them."	them."	them."
"Give	"Give	"Give
me	me	me
the	a	the
worst	worst	worst
first."	first."	first."
"There	"There	"There
they	they	they
are,	are,	are,
Sydney.	Sydney.	Sydney.
Fire	Fire	Fire
away!"	away!"	away!"
the	The	the
lion	lion	lion
then	then	then
composed	composed	composed
himself	himself	himself
on	on	on
his	his	his
back	back	back
on	on	on
a	the	the
sofa	sofa	sofa
on	on	on
one	one	one
side	side	side
of	of	of
the	the	the
drinking-table,	drinking-table,	drinking-table,
while	while	while
the	the	the
jackal	jackal	jackal
sat	sat	sat
at	at	at
his	his	his
own	own	own
paper-bestrewn	paper-bestrewn	paper-bestrewn
table	table	table
proper,	proper,	proper,
on	on	on
the	the	the
other	other	other
side	side	side
of	of	of
it,	it,	it,
with	with	with
the	the	the
bottles	bottles	bottles
and	and	and
glasses	glasses	glasses
ready	ready	ready
to	to	to
his	his	his
hand.	hand.	hand.
Both	Both	Both
resorted	resorted	resorted
to	to	to
the	the	the
drinking-table	drinking-table	drinking-table
without	without	without
stint,	stint,	stint,
but	but	but
each	each	each
in	in	in
a	the	the
different	different	different
way;	way;	way;
the	the	the
lion	lion	lion
for	for	for
the	a	the
most	most	most
part	part	part
reclining	reclining	reclining
with	with	with
his	his	his
hands	hands	hands
in	in	in
his	his	his
waistband,	waistband,	waistband,
looking	looking	looking
at	at	at
the	the	the
fire,	fire,	fire,
or	or	or
occasionally	occasionally	occasionally
flirting	flirting	flirting
with	with	with
some	some	some
lighter	lighter	lighter
document;	document;	document;
the	the	the
jackal,	jackal,	jackal,
with	with	with
knitted	knitted	knitted
brows	brows	brows
and	and	and
intent	intent	intent
face,	face,	face,
so	so	so
deep	deep	deep
in	in	in
his	his	his
task,	task,	task,
that	that	that
his	his	his
eyes	eyes	eyes
did	did	did
not	not	not
even	even	even
follow	follow	follow
the	the	the
hand	hand	hand
he	he	he
stretched	stretched	stretched
out	out	out
for	for	for
his	his	his
glass--which	glass--which	glass--which
often	often	often
groped	groped	groped
about,	about,	about,
for	for	for
a	a	the
minute	minute	minute
or	or	or
more,	more,	more,
before	before	before
it	it	it
found	found	found
the	a	the
glass	glass	glass
for	for	for
his	his	his
lips.	lips.	lips.
Two	Two	Two
or	or	or
three	three	three
times,	times,	times,
the	the	the
matter	matter	matter
in	in	in
hand	hand	hand
became	became	became
so	so	so
knotty,	knotty,	knotty,
that	that	that
the	the	the
jackal	jackal	jackal
found	found	found
it	it	it
imperative	imperative	imperative
on	on	on
him	him	him
to	to	to
get	get	get
up,	up,	up,
and	and	and
steep	steep	steep
his	his	his
towels	towels	towels
anew.	anew.	anew.
From	From	From
these	these	these
pilgrimages	pilgrimages	pilgrimages
to	to	to
the	the	the
jug	jug	jug
and	and	and
basin,	basin,	basin,
he	he	he
returned	returned	returned
with	with	with
such	such	such
eccentricities	eccentricities	eccentricities
of	of	of
damp	damp	damp
headgear	headgear	headgear
as	as	as
no	no	no
words	words	words
can	can	can
describe;	describe;	describe;
which	which	which
were	were	were
made	made	made
the	the	the
more	more	more
ludicrous	ludicrous	ludicrous
by	by	by
his	his	his
anxious	anxious	anxious
gravity.	gravity.	gravity.
At	At	At
length	length	length
the	the	the
jackal	jackal	jackal
had	had	had
got	got	got
together	together	together
a	a	the
compact	compact	compact
repast	repast	repast
for	for	for
the	the	the
lion,	lion,	lion,
and	and	and
proceeded	proceeded	proceeded
to	to	to
offer	offer	offer
it	it	it
to	to	to
him.	him.	him.
the	The	the
